Município,UF,Área destinada à colheita de Arábica,Área destinada à colheita de Canephora,Área colhida de Arábica,Área colhida de Canephora,Toneladas produzidas de Arábica,Toneladas produzidas de Canephora,Rendimento médio da produção (Quilogramas por Hectare) Arábica,Rendimento médio da produção (Quilogramas por Hectare) Canephora,Valor da produção (Mil Reais) Arábica,Valor da produção (Mil Reais) Canephora
Nova Santa Helena,MT,0,260,0,260,0,156,0,600,0,2571
Nova Canaã do Norte,MT,0,5,0,5,0,5,0,1000,0,60
Novo Mundo,MT,0,10,0,10,0,6,0,600,0,99
Novo Horizonte do Norte,MT,0,150,0,150,0,90,0,600,0,1484
Paranaíta,MT,0,40,0,40,0,40,0,1000,0,520
Peixoto de Azevedo,MT,0,14,0,14,0,8,0,571,0,132
Pontes e Lacerda,MT,0,31,0,31,0,26,0,839,0,440
Porto Estrela,MT,0,2,0,2,0,2,0,1000,0,34
Primavera do Leste,MT,15,0,15,0,23,0,1533,0,322,0
São José dos Quatro Marcos,MT,0,2,0,2,0,2,0,1000,0,34
Santo Afonso,MT,0,2,0,2,0,1,0,500,0,17
Rondolândia,MT,0,270,0,270,0,266,0,985,0,4500
Tabaporã,MT,0,25,0,25,0,16,0,640,0,264
Tangará da Serra,MT,0,80,0,80,0,128,0,1600,0,2166
Nova Monte Verde,MT,0,50,0,50,0,50,0,1000,0,600
Anápolis,GO,30,0,30,0,68,0,2267,0,1323,0
Cabeceiras,GO,1100,0,1100,0,2878,0,2616,0,64836,0
Campo Alegre de Goiás,GO,1104,0,1104,0,3000,0,2717,0,32521,0
Cristalina,GO,2400,0,2400,0,6000,0,2500,0,142732,0
Gameleira de Goiás,GO,15,0,15,0,32,0,2133,0,896,0
Goianira,GO,22,0,22,0,35,0,1591,0,770,0
Inhumas,GO,120,0,120,0,202,0,1683,0,4444,0
Ipameri,GO,509,0,509,0,1120,0,2200,0,13845,0
Niquelândia,GO,275,0,275,0,720,0,2618,0,16992,0
Ouvidor,GO,30,0,30,0,63,0,2100,0,471,0
Paraúna,GO,460,0,460,0,1793,0,3898,0,33153,0
Planaltina,GO,33,0,33,0,96,0,2909,0,2140,0
Santo Antônio do Descoberto,GO,3,0,3,0,6,0,2000,0,140,0
São João d'Aliança,GO,150,0,150,0,438,0,2920,0,9872,0
Silvânia,GO,53,0,53,0,87,0,1642,0,3045,0
Brasília,DF,417,0,417,0,1098,0,2633,0,38430,0
