Município,UF,Área destinada à colheita de Arábica,Área destinada à colheita de Canephora,Área colhida de Arábica,Área colhida de Canephora,Toneladas produzidas de Arábica,Toneladas produzidas de Canephora,Rendimento médio da produção (Quilogramas por Hectare) Arábica,Rendimento médio da produção (Quilogramas por Hectare) Canephora,Valor da produção (Mil Reais) Arábica,Valor da produção (Mil Reais) Canephora
Guarani,MG,58,0,58,0,56,0,966,0,1187,0
Guarará,MG,14,0,14,0,17,0,1214,0,342,0
Guarda-Mor,MG,354,0,354,0,616,0,1740,0,13489,0
Guaxupé,MG,3950,0,3950,0,5214,0,1320,0,112079,0
Guimarânia,MG,4100,0,4100,0,7470,0,1822,0,154238,0
Guiricema,MG,200,0,200,0,312,0,1560,0,6365,0
Heliodora,MG,3185,0,3185,0,4969,0,1560,0,109566,0
Iapu,MG,304,0,304,0,412,0,1355,0,8528,0
Ibiá,MG,5550,0,5550,0,9333,0,1682,0,192412,0
Ibiraci,MG,15800,0,15800,0,31254,0,1978,0,676836,0
Ibitiúra de Minas,MG,1510,0,1510,0,2054,0,1360,0,43382,0
Ibituruna,MG,600,0,600,0,1080,0,1800,0,21233,0
Igarapé,MG,10,0,10,0,6,0,600,0,125,0
Ijaci,MG,200,0,200,0,438,0,2190,0,8815,0
Ilicínea,MG,6970,0,6970,0,10455,0,1500,0,198047,0
Imbé de Minas,MG,3400,0,3400,0,4284,0,1260,0,93177,0
Inconfidentes,MG,3025,0,3025,0,5445,0,1800,0,120599,0
Indaiabira,MG,540,0,540,0,1356,0,2511,0,29109,0
Indianópolis,MG,4570,0,4570,0,8226,0,1800,0,180771,0
Ingaí,MG,438,0,438,0,710,0,1621,0,15052,0
Inhapim,MG,3580,0,3580,0,4296,0,1200,0,91290,0
Ipanema,MG,25,277,25,277,43,615,1720,2220,869,11147
Iraí de Minas,MG,1158,0,1158,0,3020,0,2608,0,64365,0
Itabira,MG,6,0,6,0,6,0,1000,0,125,0
Itabirinha,MG,111,48,111,48,99,163,892,3396,1815,2666
Itacambira,MG,4,0,4,0,2,0,500,0,40,0
Itaguara,MG,13,0,13,0,12,0,923,0,255,0
Itaipé,MG,400,0,400,0,360,0,900,0,6939,0
Itajubá,MG,29,0,29,0,31,0,1069,0,649,0
Itamarandiba,MG,525,14,525,14,1121,17,2135,1214,22780,247
Itamarati de Minas,MG,66,0,66,0,79,0,1197,0,1683,0
Itambacuri,MG,237,15,237,15,257,12,1084,800,4626,218
Itamogi,MG,10400,0,10400,0,14976,0,1440,0,322877,0
Itanhomi,MG,335,0,335,0,342,0,1021,0,6737,0
Itapecerica,MG,395,0,395,0,638,0,1615,0,14211,0
Itaú de Minas,MG,9,0,9,0,11,0,1222,0,210,0
Itueta,MG,0,670,0,670,0,1212,0,1809,0,21387
Ituiutaba,MG,4,0,4,0,4,0,1000,0,74,0
Itumirim,MG,359,0,359,0,582,0,1621,0,11561,0
Itutinga,MG,100,0,100,0,180,0,1800,0,3554,0
Jaboticatubas,MG,8,0,8,0,10,0,1250,0,213,0
